time,open,high,low,close,EMA,EMA,ATR,成交量,均量,■ 正常,■ 没劲了(动力耗尽),■ 蓄力(量大不动),■ 假突破(冲高被打),■ 假跌破(探底弹回),■ 拉锯(多空对打),RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1774342800,4411.975,4419.255,4397.485,4398.965,4389.247371051749,4383.562796842025,24.335172954372787,22370,22049.569133053104,0,0,0,0,0,0,53.97768293960999,53.97768293960999,,53.97768293960999,,,,,
1774343700,4398.975,4415.375,4395.97,4407.2,4390.879428228863,4384.489745985475,23.983017743346142,15647,21439.800644190906,0,0,0,0,0,0,56.23718990982316,,,,,,,,
1774344600,4407.165,4421.265,4405.25,4415.96,4393.159480208057,4385.723873593887,23.41387361882144,12985,20634.581535220343,0,0,0,0,0,0,58.567488898829374,,,,,,,,
1774345500,4416.045,4430.995,4412.08,4426.5,4396.190436552779,4387.322937374519,23.092525503191332,13826,19986.14519853269,0,0,0,0,0,0,61.24168079804834,,,,,,,,
1774346400,4426.61,4431.24,4415.12,4426.24,4398.922215047981,4388.849096693165,22.594487967249087,17181,19718.98851295815,0,0,0,0,0,0,61.13685412036935,,,,,,,,
1774347300,4426.26,4432.995,4421.395,4422.285,4401.046104589073,4390.16030858755,21.809167398159826,11886,18972.989606962135,0,0,0,0,0,0,59.46931706069749,,,,,,,,
1774348200,4422.08,4428.155,4414.79,4427.87,4403.484640535521,4391.639120015489,21.20601258400554,13642,18465.27631106098,0,0,0,0,0,0,61.083552824039,,,,,,,,
1774349100,4427.89,4441.73,4418.715,4438.67,4406.6833095777465,4393.483468250176,21.335225970862243,16982,18324.011900483743,0,0,0,0,0,0,64.06410526300829,,,,,64.06410526300829,64.06410526300829,64.06410526300829,
1774350000,4438.62,4442.245,4374.74,4419.83,4407.878463252497,4394.516665573698,24.633066972943517,31253,19555.344100437673,0,0,0,0,0,0,56.00588599843607,,,,,,,,
1774350900,4419.63,4421.055,4403.445,4413.28,4408.369512047724,4395.252482610024,24.13141933201902,18973,19499.882757538846,0,0,0,0,0,0,53.48694944079252,,,,,,,,
1774351800,4413.255,4431.875,4411.525,4422.225,4409.6291018615675,4396.310228390023,23.861317951160547,15820,19149.417733011338,0,0,0,0,0,0,56.372742589246,,,,,,,,
1774352700,4422.215,4427.89,4390.705,4408.24,4409.502819874152,4396.7780625708065,24.81300952607768,22976,19513.85413939121,0,0,0,0,0,0,51.04092014425733,,,,,,,,
1774353600,4408.235,4422.845,4404.92,4420.74,4410.524381703774,4397.71774639156,24.321008845643572,20682,19625.106126115857,0,0,0,0,0,0,55.126284282666724,,,,,,,,
1774354500,4420.63,4427.645,4395.83,4402.54,4409.798528821613,4397.906854376204,24.85629392809764,24625,20101.286495057204,0,0,0,0,0,0,48.74804527233392,,,,,,,,
1774355400,4402.545,4406.855,4362.065,4369.935,4406.174571656012,4396.8099189104705,26.280130076090664,33033,21332.87825743271,0,0,0,0,0,0,39.852122139343365,,,,,,,,
1774356300,4369.965,4390.695,4369.345,4379.115,4403.714610596374,4396.116000521824,25.927977927798434,27659,21935.366042439116,0,0,0,0,0,0,43.005733315711055,,,,,,,,
1774357200,4379.06,4389.89,4364.09,4378.275,4401.401918723976,4395.416353442537,25.918836647241417,37624,23429.521657444915,0,0,0,0,0,0,42.784679807712685,,,,,,,,
1774358100,4378.315,4384.49,4356.695,4356.88,4397.3544715672515,4393.905123895771,26.05284831529561,30639,24116.13864245016,0,0,0,0,0,0,37.49785235253155,,,,,,,,
1774359000,4356.94,4370.835,4351.09,4356.71,4393.659519606592,4392.446491586133,25.602287721345913,44230,26031.744486026335,0,0,0,0,0,0,37.458245020367535,37.458245020367535,,37.458245020367535,,,,,
1774359900,4356.775,4383.78,4351.6,4381.67,4392.56956327872,4392.023884072951,26.072124312678305,43542,27699.387868309543,0,0,0,0,0,0,46.40867737033364,,,,,,,,
1774360800,4381.66,4404.8,4380.855,4395.07,4392.796875707927,4392.143339599502,25.920186861772756,40538,28922.112833232444,0,0,0,0,0,0,50.50400725618087,,,,,,,,
1774361700,4395.08,4415.115,4389.085,4409.14,4394.282614279934,4392.809875301482,25.9280306573604,38691,29852.483039591258,0,0,0,0,0,0,54.44081614933565,,,,,,,,
1774362600,4409.165,4421.12,4400.715,4412.55,4395.9432857090305,4393.583997838678,25.533528467548926,39365,30758.43703582066,0,0,0,0,0,0,55.3673722405799,,,,,,,,
1774363500,4412.545,4433.6,4401.405,4416.165,4397.781623371846,4394.469527335201,26.009347862724045,34039,31070.871603837742,0,0,0,0,0,0,56.380160023721274,,,,,,,,
1774364400,4416.12,4420.95,4396.455,4411.565,4399.034657610769,4395.139938027938,25.90118015824375,43551,32259.4552606151,0,0,0,0,0,0,54.67985224016509,,,,,,,,
1774365300,4411.525,4420.395,4403.235,4412.89,4400.294234191608,4395.836018889588,25.27681014694068,29612,32007.316664366044,0,0,0,0,0,0,55.09989291300047,,,,,,,,
1774366200,4412.89,4429.12,4409.915,4424.71,4402.513849265098,4396.96833187431,24.843109422159195,26026,31437.667458235945,0,0,0,0,0,0,58.770938355694206,,,,,58.770938355694206,,58.770938355694206,
1774367100,4424.755,4431.085,4409.21,4411.79,4403.357135695544,4397.549573761592,24.63110160629068,27072,31021.889605070617,0,0,0,0,0,0,53.61120051035352,,,,,,,,
1774368000,4411.85,4414.77,4402.635,4414.615,4404.38057790504,4398.218806163099,23.738522920127078,29586,30885.13821411151,0,0,0,0,0,0,54.55077690546043,,,,,,,,
1774368900,4414.575,4425.705,4411.61,4421.205,4405.910070822763,4399.120225529252,23.049699854403734,18221,29679.029812767556,0,0,0,0,0,0,56.75138552028619,,,,,,,,
1774369800,4421.2,4424.585,4408.825,4424.575,4407.606882566149,4400.118451979085,22.529007007660624,21724,28921.407925837313,0,0,0,0,0,0,57.87466766293168,,,,,,,,
1774370700,4424.57,4427.925,4418.495,4421.485,4408.86852960559,4400.956355823042,21.593363649970602,18838,27961.083361471854,0,0,0,0,0,0,56.42749389982704,,,,,,,,
1774371600,4421.49,4426.69,4388.375,4397.77,4407.859572368719,4400.831400692727,22.787766246401244,33460,28484.789707998345,0,0,0,0,0,0,46.762912371517906,,,,,,,,
